,title,price,condition,Screen Size,Color,RAM Size,SSD Capacity,Processor Speed,Brand,Maximum Resolution,Hard Drive Capacity,Storage Type,Processor_Brand,Processor_Series,Processor_Subseries,Processor_Generation,has_GPU,os_type
117,"lot of 11 microsoft surface 1724 tablets i5-6650u 16gb ram, 256gb ssd eufi win10",699.99,used,12.0,missing,16.0,256.0,,microsoft,missing,,missing,intel,core,i5,6.0,0,windows
118,hp elitebook 840 g2 laptop intel core i5 2.3ghz 500gb hard drive 8gb ram windows,170.0,very good - refurbished,14.0,silver,8.0,,2.3,hp,1366x768,500.0,hdd,intel,core,i5,5.0,1,windows
119,"lenovo thinkpad t480s | i5-8350u@1.7ghz  | 8gb ram | no os, hdd",91.0,used,14.0,black,8.0,,1.7,lenovo,1920x1080,,ssd,intel,core,i5,8.0,1,no os
120,lot of 5 lenovo t450/t450s i5-5300m 2.3ghz 8gb ram 500gb hdd no os,225.0,used,14.0,black,8.0,,2.3,lenovo,1600x900,500.0,hdd,intel,core,i5,5.0,1,no os
121,"dell latitude 3390 2-in-1 13.3"" touch laptop core i3 8gb 256gb ssd win10 laptop",199.99,certified - refurbished,13.0,black,8.0,256.0,2.2,dell,1920x1080,256.0,ssd,intel,core,i3,8.0,1,windows
122,lenovo thinkpad t460p laptop i7-6700hq geforce 940mx 16gb  512gb ssd win10 fhd,349.99,very good - refurbished,14.0,missing,16.0,512.0,2.7,lenovo,1920x1080,,ssd,intel,core,i7,6.0,1,windows
123,"lenovo thinkpad t460 core i5-6300u 2.4ghz 8g, 256gb ssd wifi win10 pro & cord",100.0,used,15.0,black,8.0,256.0,2.4,lenovo,1920x1080,256.0,ssd,intel,core,i5,6.0,1,windows
124,"dell latitude 5414 14"" touchscreen i5-6300u 2.4ghz 8gb ram no ssd w/charger",129.99,used,14.0,black,8.0,0.0,2.4,dell,1920x1080,0.0,no drive,intel,core,i5,6.0,1,windows
125,"lot of 9 dell latitude e7270 12.5"" i5-6300u 2.4ghz|8gb ram no ssd",549.95,used,12.5,black,8.0,,2.4,dell,1366x768,,ssd,intel,core,i5,6.0,1,no os
126,"panasonic toughbook cf-c2c6gzxkm 2-in-1 12.5"" | 2.00ghz core i5-4310u | 4gb ddr3",44.99,used,12.5,missing,,,2.0,panasonic,missing,,missing,intel,core,i5,4.0,0,missing
127,"dell precision 7720 i7-6820hq 2.7ghz, 32gb, 1tb ssd, 17.3"", p3000, win 10 pro",289.0,used,17.3,missing,32.0,1000.0,2.7,dell,missing,,ssd,intel,core,i7,6.0,0,windows
128,"lenovo ideapad 3 17iml05 laptop 17.3"" i5-10210u 1.6ghz 8gb 256gb ssd -read plz!!",269.0,used,17.3,blue,8.0,256.0,1.6,lenovo,1920x1080,256.0,ssd,intel,core,i5,10.0,1,windows
129,dell latitude rugged 5414 touchscreen core i5 @ 2.4ghz 16gb ram no ssd w/charger,129.99,used,14.0,black,16.0,0.0,2.4,dell,1920x1080,0.0,no drive,intel,core,i5,6.0,1,windows
130,"dell latitude 5414 14"" touchscreen i5-6300u 2.4ghz 8gb ram no os/ssd w/charger",119.99,used,14.0,black,8.0,0.0,2.4,dell,1920x1080,0.0,no drive,intel,core,i5,6.0,1,missing
131,lenovo thinkpad t580 i5 laptop with fingerprint scanner and 2 batteries,128.5,used,15.6,black,16.0,120.0,1.8,lenovo,1920x1080,120.0,ssd,intel,core,i5,8.0,1,windows
132,msi gs66 12ugs i9-12000h 32 gb ddr5 3070 ti 360hz used gaming laptop,1000.0,used,15.6,missing,,,,msi,missing,32.0,missing,intel,core,i9,12.0,0,missing
133,lenovo thinkpad t580 i5 laptop with fingerprint scanner and 2 batteries,128.5,used,15.6,black,16.0,120.0,1.8,lenovo,1920x1080,120.0,ssd,intel,core,i5,8.0,1,windows
134,msi gs66 12ugs i9-12000h 32 gb ddr5 3070 ti 360hz used gaming laptop,1000.0,used,15.6,missing,,,,msi,missing,32.0,missing,intel,core,i9,12.0,0,missing
